facility_or_program_type,agency,report_date,date,series,exits,category,housing_category,notes
Supportive housing,DYCD,09_2023,2023-09-01,adult_families,0,Supportive housing,Permanent Housing,NA
Supportive housing,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,0,Supportive housing,Permanent Housing,NA
Supportive housing,DYCD,09_2023,2023-09-01,total_single_adults,0,Supportive housing,Permanent Housing,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",DYCD,09_2023,2023-09-01,families_with_children,NA,Transitional housing,Other,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",DYCD,09_2023,2023-09-01,adult_families,NA,Transitional housing,Other,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Transitional housing,Other,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",DYCD,09_2023,2023-09-01,total_single_adults,NA,Transitional housing,Other,NA
DYCD-funded Crisis Services Program,DYCD,09_2023,2023-09-01,families_with_children,NA,Youth special program,Other,NA
DYCD-funded Crisis Services Program,DYCD,09_2023,2023-09-01,adult_families,0,Youth special program,Other,NA
DYCD-funded Crisis Services Program,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,0,Youth special program,Other,NA
DYCD-funded Crisis Services Program,DYCD,09_2023,2023-09-01,total_single_adults,17,Youth special program,Other,NA
DYCD-funded Transitional Independent Living Program,DYCD,09_2023,2023-09-01,families_with_children,NA,Youth special program,Other,NA
DYCD-funded Transitional Independent Living Program,DYCD,09_2023,2023-09-01,adult_families,0,Youth special program,Other,NA
DYCD-funded Transitional Independent Living Program,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,0,Youth special program,Other,NA
DYCD-funded Transitional Independent Living Program,DYCD,09_2023,2023-09-01,total_single_adults,49,Youth special program,Other,NA
Foster home,DYCD,09_2023,2023-09-01,families_with_children,NA,Foster home,Permanent Housing,DYCD only?
Foster home,DYCD,09_2023,2023-09-01,adult_families,0,Foster home,Permanent Housing,DYCD only?
Foster home,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,0,Foster home,Permanent Housing,DYCD only?
Foster home,DYCD,09_2023,2023-09-01,total_single_adults,0,Foster home,Permanent Housing,DYCD only?
Other shelter,DYCD,09_2023,2023-09-01,families_with_children,NA,Other shelter,Other,NA
Other shelter,DYCD,09_2023,2023-09-01,adult_families,0,Other shelter,Other,NA
Other shelter,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,0,Other shelter,Other,NA
Other shelter,DYCD,09_2023,2023-09-01,total_single_adults,12,Other shelter,Other,NA
DHS shelter,DYCD,09_2023,2023-09-01,families_with_children,NA,Other shelter,Other,NA
DHS shelter,DYCD,09_2023,2023-09-01,adult_families,0,Other shelter,Other,NA
DHS shelter,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,0,Other shelter,Other,NA
DHS shelter,DYCD,09_2023,2023-09-01,total_single_adults,0,Other shelter,Other,NA
Youth detention center/Correctional facility,DYCD,09_2023,2023-09-01,families_with_children,NA,Other,Other,Own category?
Youth detention center/Correctional facility,DYCD,09_2023,2023-09-01,adult_families,NA,Other,Other,Own category?
Youth detention center/Correctional facility,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Other,Other,Own category?
Youth detention center/Correctional facility,DYCD,09_2023,2023-09-01,total_single_adults,NA,Other,Other,Own category?
"Subsidized Apartment (NYCHA, Mitchell Lama, Etc.)",DYCD,09_2023,2023-09-01,families_with_children,NA,Affordable housing,Permanent Housing,NA
"Subsidized Apartment (NYCHA, Mitchell Lama, Etc.)",DYCD,09_2023,2023-09-01,adult_families,0,Affordable housing,Permanent Housing,NA
"Subsidized Apartment (NYCHA, Mitchell Lama, Etc.)",DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,0,Affordable housing,Permanent Housing,NA
"Subsidized Apartment (NYCHA, Mitchell Lama, Etc.)",DYCD,09_2023,2023-09-01,total_single_adults,0,Affordable housing,Permanent Housing,NA
Shared Living (Not friends or relatives),DYCD,09_2023,2023-09-01,families_with_children,NA,Other,Other,What does this mean?
Shared Living (Not friends or relatives),DYCD,09_2023,2023-09-01,adult_families,0,Other,Other,What does this mean?
Shared Living (Not friends or relatives),DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,0,Other,Other,What does this mean?
Shared Living (Not friends or relatives),DYCD,09_2023,2023-09-01,total_single_adults,0,Other,Other,What does this mean?
CityFHEPS (Family Homelessness and Eviction Prevention Supplement),DYCD,09_2023,2023-09-01,families_with_children,NA,Voucher,Permanent Housing,NA
CityFHEPS (Family Homelessness and Eviction Prevention Supplement),DYCD,09_2023,2023-09-01,adult_families,NA,Voucher,Permanent Housing,NA
CityFHEPS (Family Homelessness and Eviction Prevention Supplement),DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing,NA
CityFHEPS (Family Homelessness and Eviction Prevention Supplement),DYCD,09_2023,2023-09-01,total_single_adults,NA,Voucher,Permanent Housing,NA
Emergency Housing Voucher,DYCD,09_2023,2023-09-01,families_with_children,NA,Voucher,Permanent Housing,NA
Emergency Housing Voucher,DYCD,09_2023,2023-09-01,adult_families,0,Voucher,Permanent Housing,NA
Emergency Housing Voucher,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,0,Voucher,Permanent Housing,NA
Emergency Housing Voucher,DYCD,09_2023,2023-09-01,total_single_adults,0,Voucher,Permanent Housing,NA
Unknown or unable to validate,DYCD,09_2023,2023-09-01,families_with_children,NA,Unknown,Unknown,NA
Unknown or unable to validate,DYCD,09_2023,2023-09-01,adult_families,0,Unknown,Unknown,NA
Unknown or unable to validate,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,0,Unknown,Unknown,NA
Unknown or unable to validate,DYCD,09_2023,2023-09-01,total_single_adults,27,Unknown,Unknown,NA
Home returned to parent or guardian,DYCD,09_2023,2023-09-01,families_with_children,NA,Family or friends,Permanent Housing,DYCD only?
Home returned to parent or guardian,DYCD,09_2023,2023-09-01,adult_families,0,Family or friends,Permanent Housing,DYCD only?
Home returned to parent or guardian,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,0,Family or friends,Permanent Housing,DYCD only?
Home returned to parent or guardian,DYCD,09_2023,2023-09-01,total_single_adults,24,Family or friends,Permanent Housing,DYCD only?
A private rental market apartment with no rental subsidy,DHS,10_2023,2023-09-01,families_with_children,64,Private market,Permanent Housing,NA
A private rental market apartment with no rental subsidy,DHS,10_2023,2023-09-01,adult_families,0,Private market,Permanent Housing,NA
A private rental market apartment with no rental subsidy,DHS,10_2023,2023-10-01,runaway_and_homeless_youth,NA,Private market,Permanent Housing,NA
A private rental market apartment with no rental subsidy,DHS,10_2023,2023-08-01,total_single_adults,125,Private market,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DHS,10_2023,2023-09-01,families_with_children,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DHS,10_2023,2023-09-01,adult_families,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DHS,10_2023,2023-10-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DHS,10_2023,2023-08-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DHS,10_2023,2023-09-01,families_with_children,17,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DHS,10_2023,2023-09-01,adult_families,0,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DHS,10_2023,2023-10-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DHS,10_2023,2023-08-01,total_single_adults,19,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DHS,10_2023,2023-09-01,families_with_children,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DHS,10_2023,2023-09-01,adult_families,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DHS,10_2023,2023-10-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DHS,10_2023,2023-08-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing,NA
Housing of friends or family,DHS,10_2023,2023-09-01,families_with_children,109,Family or friends,Permanent Housing,NA
Housing of friends or family,DHS,10_2023,2023-09-01,adult_families,0,Family or friends,Permanent Housing,NA
Housing of friends or family,DHS,10_2023,2023-10-01,runaway_and_homeless_youth,NA,Family or friends,Permanent Housing,NA
Housing of friends or family,DHS,10_2023,2023-08-01,total_single_adults,101,Family or friends,Permanent Housing,NA
Moved back to vacated building,DHS,10_2023,2023-09-01,families_with_children,NA,Other,Other,NA
Moved back to vacated building,DHS,10_2023,2023-09-01,adult_families,NA,Other,Other,NA
Moved back to vacated building,DHS,10_2023,2023-10-01,runaway_and_homeless_youth,NA,Other,Other,NA
Moved back to vacated building,DHS,10_2023,2023-08-01,total_single_adults,NA,Other,Other,NA
Other affordable housing- 421-a affordable housing,DHS,10_2023,2023-09-01,families_with_children,0,Affordable housing,Permanent Housing,NA
Other affordable housing- 421-a affordable housing,DHS,10_2023,2023-09-01,adult_families,0,Affordable housing,Permanent Housing,NA
Other affordable housing- 421-a affordable housing,DHS,10_2023,2023-10-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- 421-a affordable housing,DHS,10_2023,2023-08-01,total_single_adults,0,Affordable housing,Permanent Housing,NA
Other affordable housing- Housing New York,DHS,10_2023,2023-09-01,families_with_children,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- Housing New York,DHS,10_2023,2023-09-01,adult_families,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- Housing New York,DHS,10_2023,2023-10-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- Housing New York,DHS,10_2023,2023-08-01,total_single_adults,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- mandatory inclusionary housing,DHS,10_2023,2023-09-01,families_with_children,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- mandatory inclusionary housing,DHS,10_2023,2023-09-01,adult_families,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- mandatory inclusionary housing,DHS,10_2023,2023-10-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- mandatory inclusionary housing,DHS,10_2023,2023-08-01,total_single_adults,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- other housing,DHS,10_2023,2023-09-01,families_with_children,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- other housing,DHS,10_2023,2023-09-01,adult_families,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- other housing,DHS,10_2023,2023-10-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- other housing,DHS,10_2023,2023-08-01,total_single_adults,NA,Affordable housing,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- private room,DHS,10_2023,2023-09-01,families_with_children,0,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- private room,DHS,10_2023,2023-09-01,adult_families,0,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- private room,DHS,10_2023,2023-10-01,runaway_and_homeless_youth,0,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- private room,DHS,10_2023,2023-08-01,total_single_adults,13,Voucher,Permanent Housing,NA
